"Places","SearchTerm","Latitude","Longitude"
"Macon County, AL","Macon+County,+AL",32.4139,-85.72768
"Madison County, AL","Madison+County,+AL",34.73385,-86.57221
"Marengo County, AL","Marengo+County,+AL",32.26852,-87.76104
"Marion County, AL","Marion+County,+AL",34.11785,-87.91826
"Marshall County, AL","Marshall+County,+AL",34.34962,-86.34547
"Mobile County, AL","Mobile+County,+AL",30.69701,-88.20612
"Monroe County, AL","Monroe+County,+AL",31.5291,-87.3823
"Montgomery County, AL","Montgomery+County,+AL",32.23342,-86.20378
"Morgan County, AL","Morgan+County,+AL",34.49531,-86.83394
"Perry County, AL","Perry+County,+AL",32.59105,-87.28864
"Pickens County, AL","Pickens+County,+AL",33.26278,-88.07293
"Pike County, AL","Pike+County,+AL",31.83917,-85.92793
"Randolph County, AL","Randolph+County,+AL",33.30401,-85.46035
"Russell County, AL","Russell+County,+AL",32.28585,-85.17802
"St. Clair County, AL","St.+Clair+County,+AL",33.69021,-86.36481
"Shelby County, AL","Shelby+County,+AL",33.28239,-86.67991
"Sumter County, AL","Sumter+County,+AL",32.65149,-88.21729
"Talladega County, AL","Talladega+County,+AL",33.40126,-86.1461
"Tallapoosa County, AL","Tallapoosa+County,+AL",32.79993,-85.79785
"Tuscaloosa County, AL","Tuscaloosa+County,+AL",33.30666,-87.49996
"Walker County, AL","Walker+County,+AL",33.75915,-87.27651
"Washington County, AL","Washington+County,+AL",31.40602,-88.18781
"Wilcox County, AL","Wilcox+County,+AL",32.04816,-87.40053
"Winston County, AL","Winston+County,+AL",34.14589,-87.37388
"Apache County, AZ","Apache+County,+AZ",35.23746,-109.44492
"Cochise County, AZ","Cochise+County,+AZ",31.87987,-109.7498
"Coconino County, AZ","Coconino+County,+AZ",35.63071,-112.0424
"Gila County, AZ","Gila+County,+AZ",33.74148,-110.68128
"Graham County, AZ","Graham+County,+AZ",33.03874,-109.95898
"Greenlee County, AZ","Greenlee+County,+AZ",33.10246,-109.27159
"La Paz County, AZ","La+Paz+County,+AZ",33.67213,-113.93301
"Maricopa County, AZ","Maricopa+County,+AZ",33.27657,-112.76805
"Mohave County, AZ","Mohave+County,+AZ",35.60533,-113.99431
"Navajo County, AZ","Navajo+County,+AZ",35.28546,-110.29718
"Pima County, AZ","Pima+County,+AZ",31.96989,-111.78163
"Pinal County, AZ","Pinal+County,+AZ",32.98366,-111.49208
"Santa Cruz County, AZ","Santa+Cruz+County,+AZ",31.53216,-110.81202
"Yavapai County, AZ","Yavapai+County,+AZ",34.70691,-112.44274
"Yuma County, AZ","Yuma+County,+AZ",32.75178,-113.93631
"Arkansas County, AR","Arkansas+County,+AR",34.24459,-91.39366
"Ashley County, AR","Ashley+County,+AR",33.2023,-91.79568
"Baxter County, AR","Baxter+County,+AR",36.23629,-92.31716
"Benton County, AR","Benton+County,+AR",36.29944,-94.22755
"Boone County, AR","Boone+County,+AR",36.3063,-93.09336
"Bradley County, AR","Bradley+County,+AR",33.43439,-92.16648
"Calhoun County, AR","Calhoun+County,+AR",33.5358,-92.54756
"Carroll County, AR","Carroll+County,+AR",36.31043,-93.55638
"Chicot County, AR","Chicot+County,+AR",33.28392,-91.2944
"Clark County, AR","Clark+County,+AR",34.05531,-93.16152
"Clay County, AR","Clay+County,+AR",36.34958,-90.41382
"Cleburne County, AR","Cleburne+County,+AR",35.53523,-92.021
"Cleveland County, AR","Cleveland+County,+AR",33.88415,-92.18383
"Columbia County, AR","Columbia+County,+AR",33.23614,-93.23252
"Conway County, AR","Conway+County,+AR",35.26716,-92.67653
"Craighead County, AR","Craighead+County,+AR",35.84811,-90.66025
"Crawford County, AR","Crawford+County,+AR",35.5576,-94.24131
"Crittenden County, AR","Crittenden+County,+AR",35.13722,-90.23429
"Cross County, AR","Cross+County,+AR",35.29657,-90.772
"Dallas County, AR","Dallas+County,+AR",33.97535,-92.7179
"Desha County, AR","Desha+County,+AR",33.8183,-91.30313
"Drew County, AR","Drew+County,+AR",33.59066,-91.71447
"Faulkner County, AR","Faulkner+County,+AR",35.10529,-92.33309
"Franklin County, AR","Franklin+County,+AR",35.48688,-93.87292
"Fulton County, AR","Fulton+County,+AR",36.37478,-91.80363
"Garland County, AR","Garland+County,+AR",34.58133,-93.10601
"Grant County, AR","Grant+County,+AR",34.27769,-92.44206
"Greene County, AR","Greene+County,+AR",36.11639,-90.52694
"Hempstead County, AR","Hempstead+County,+AR",33.74253,-93.71466
"Hot Spring County, AR","Hot+Spring+County,+AR",34.32799,-93.0136
"Howard County, AR","Howard+County,+AR",34.05169,-93.9542
"Independence County, AR","Independence+County,+AR",35.73463,-91.58218
"Izard County, AR","Izard+County,+AR",36.06426,-91.89697
"Jackson County, AR","Jackson+County,+AR",35.62208,-91.20366
"Jefferson County, AR","Jefferson+County,+AR",34.27763,-91.96119
"Johnson County, AR","Johnson+County,+AR",35.5476,-93.46287
"Lafayette County, AR","Lafayette+County,+AR",33.25033,-93.59204
"Lawrence County, AR","Lawrence+County,+AR",36.06938,-91.08695
"Lee County, AR","Lee+County,+AR",34.77001,-90.82321
"Lincoln County, AR","Lincoln+County,+AR",33.97869,-91.70934
"Little River County, AR","Little+River+County,+AR",33.7396,-94.2263
"Logan County, AR","Logan+County,+AR",35.22463,-93.65405
"Lonoke County, AR","Lonoke+County,+AR",34.77904,-91.88756
"Madison County, AR","Madison+County,+AR",36.03352,-93.69726
"Marion County, AR","Marion+County,+AR",36.28059,-92.71014
"Miller County, AR","Miller+County,+AR",33.31658,-93.86903
"Mississippi County, AR","Mississippi+County,+AR",35.69995,-90.12166
"Monroe County, AR","Monroe+County,+AR",34.67033,-91.21288
"Montgomery County, AR","Montgomery+County,+AR",34.54295,-93.6687
"Nevada County, AR","Nevada+County,+AR",33.70074,-93.29132
"Newton County, AR","Newton+County,+AR",35.92484,-93.21484
"Ouachita County, AR","Ouachita+County,+AR",33.58901,-92.9106
"Perry County, AR","Perry+County,+AR",34.94392,-92.88086
"Phillips County, AR","Phillips+County,+AR",34.38219,-90.82282
"Pike County, AR","Pike+County,+AR",34.14634,-93.63541
"Poinsett County, AR","Poinsett+County,+AR",35.57337,-90.66286
"Polk County, AR","Polk+County,+AR",34.45947,-94.19844
"Pope County, AR","Pope+County,+AR",35.42315,-93.07429
"Prairie County, AR","Prairie+County,+AR",34.78549,-91.53469
"Pulaski County, AR","Pulaski+County,+AR",34.75207,-92.31389
"Randolph County, AR","Randolph+County,+AR",36.30676,-91.00493
"St. Francis County, AR","St.+Francis+County,+AR",35.00811,-90.72387
"Saline County, AR","Saline+County,+AR",34.63613,-92.68775
"Scott County, AR","Scott+County,+AR",34.88246,-94.07862
"Searcy County, AR","Searcy+County,+AR",35.91677,-92.67947
"Sebastian County, AR","Sebastian+County,+AR",35.19089,-94.23434
"Sevier County, AR","Sevier+County,+AR",33.97178,-94.26977
"Sharp County, AR","Sharp+County,+AR",36.19413,-91.51278
"Stone County, AR","Stone+County,+AR",35.91908,-92.22032
"Union County, AR","Union+County,+AR",33.19789,-92.58126
"Van Buren County, AR","Van+Buren+County,+AR",35.57722,-92.52828
"Washington County, AR","Washington+County,+AR",35.99313,-94.23994
"White County, AR","White+County,+AR",35.27743,-91.76249
"Woodruff County, AR","Woodruff+County,+AR",35.17918,-91.23479
"Yell County, AR","Yell+County,+AR",35.03043,-93.40534
"Alameda County, CA","Alameda+County,+CA",37.67971,-121.9076
"Alpine County, CA","Alpine+County,+CA",38.63066,-119.84447
"Amador County, CA","Amador+County,+CA",38.4617,-120.73554
"Butte County, CA","Butte+County,+CA",39.72353,-121.57942
"Calaveras County, CA","Calaveras+County,+CA",38.17138,-120.65732
"Colusa County, CA","Colusa+County,+CA",39.16921,-122.20662
"Contra Costa County, CA","Contra+Costa+County,+CA",37.91105,-121.98581
"Del Norte County, CA","Del+Norte+County,+CA",41.69083,-123.9058
"El Dorado County, CA","El+Dorado+County,+CA",38.78489,-120.52574
"Fresno County, CA","Fresno+County,+CA",36.74631,-119.64997
"Glenn County, CA","Glenn+County,+CA",39.59175,-122.44132
"Humboldt County, CA","Humboldt+County,+CA",40.73354,-123.89678
"Imperial County, CA","Imperial+County,+CA",33.02605,-115.35572
"Inyo County, CA","Inyo+County,+CA",36.62572,-117.509
"Kern County, CA","Kern+County,+CA",35.29451,-118.7204
"Kings County, CA","Kings+County,+CA",36.13875,-119.77208
"Lake County, CA","Lake+County,+CA",39.12486,-122.79387
"Lassen County, CA","Lassen+County,+CA",40.44619,-120.52857
"Los Angeles County, CA","Los+Angeles+County,+CA",34.26352,-118.14265
"Madera County, CA","Madera+County,+CA",37.27055,-119.63563
"Marin County, CA","Marin+County,+CA",38.06823,-122.66675
"Mariposa County, CA","Mariposa+County,+CA",37.54356,-119.95861
"Mendocino County, CA","Mendocino+County,+CA",39.38023,-123.43947
"Merced County, CA","Merced+County,+CA",37.18698,-120.60945
"Modoc County, CA","Modoc+County,+CA",41.59077,-120.72433
"Mono County, CA","Mono+County,+CA",38.0882,-119.02872
"Monterey County, CA","Monterey+County,+CA",36.35416,-121.49138
"Napa County, CA","Napa+County,+CA",38.50976,-122.32595
"Nevada County, CA","Nevada+County,+CA",39.26605,-121.00973
"Orange County, CA","Orange+County,+CA",33.6671,-117.72103
"Placer County, CA","Placer+County,+CA",39.01395,-120.74355
"Plumas County, CA","Plumas+County,+CA",40.02351,-120.80526
"Riverside County, CA","Riverside+County,+CA",33.75297,-116.02013
"Sacramento County, CA","Sacramento+County,+CA",38.37739,-121.27581
"San Benito County, CA","San+Benito+County,+CA",36.59282,-121.02977
"San Bernardino County, CA","San+Bernardino+County,+CA",34.8402,-116.11146
"San Diego County, CA","San+Diego+County,+CA",33.01981,-116.69382
"San Francisco County, CA","San+Francisco+County,+CA",37.81853,-122.43937
"San Joaquin County, CA","San+Joaquin+County,+CA",37.89097,-121.24801
"San Luis Obispo County, CA","San+Luis+Obispo+County,+CA",35.34633,-120.33614
"San Mateo County, CA","San+Mateo+County,+CA",37.40806,-122.31091
"Santa Barbara County, CA","Santa+Barbara+County,+CA",34.74365,-120.03522
"Santa Clara County, CA","Santa+Clara+County,+CA",37.1888,-121.72097
"Santa Cruz County, CA","Santa+Cruz+County,+CA",37.06785,-122.03009
"Shasta County, CA","Shasta+County,+CA",40.73518,-122.0184
"Sierra County, CA","Sierra+County,+CA",39.58425,-120.5105
"Siskiyou County, CA","Siskiyou+County,+CA",41.50078,-122.5443
"Solano County, CA","Solano+County,+CA",38.2856,-121.90168
"Sonoma County, CA","Sonoma+County,+CA",38.463,-122.83036
"Stanislaus County, CA","Stanislaus+County,+CA",37.60603,-120.88674
"Sutter County, CA","Sutter+County,+CA",39.0201,-121.70776
"Tehama County, CA","Tehama+County,+CA",40.12527,-122.21193
"Trinity County, CA","Trinity+County,+CA",40.67279,-123.14363
"Tulare County, CA","Tulare+County,+CA",36.27115,-118.79639
"Tuolumne County, CA","Tuolumne+County,+CA",38.03467,-119.8849
"Ventura County, CA","Ventura+County,+CA",34.47326,-119.08393
"Yolo County, CA","Yolo+County,+CA",38.61961,-121.85523
"Yuba County, CA","Yuba+County,+CA",39.27886,-121.43825
"Adams County, CO","Adams+County,+CO",39.86963,-104.1621
"Alamosa County, CO","Alamosa+County,+CO",37.5542,-105.77344
"Arapahoe County, CO","Arapahoe+County,+CO",39.6521,-104.28319
"Archuleta County, CO","Archuleta+County,+CO",37.20771,-107.05516
"Baca County, CO","Baca+County,+CO",37.31865,-102.56267
"Bent County, CO","Bent+County,+CO",37.95552,-103.0697
"Boulder County, CO","Boulder+County,+CO",40.08791,-105.34474
"Broomfield County, CO","Broomfield+County,+CO",39.96666,-105.03669
"Chaffee County, CO","Chaffee+County,+CO",38.74002,-106.18284
"Cheyenne County, CO","Cheyenne+County,+CO",38.82972,-102.60451
"Clear Creek County, CO","Clear+Creek+County,+CO",39.70835,-105.66
"Conejos County, CO","Conejos+County,+CO",37.19874,-106.1713
"Costilla County, CO","Costilla+County,+CO",37.32677,-105.45565
"Crowley County, CO","Crowley+County,+CO",38.31783,-103.7785
"Custer County, CO","Custer+County,+CO",38.07737,-105.34411
"Delta County, CO","Delta+County,+CO",38.94296,-107.80351
"Denver County, CO","Denver+County,+CO",39.76418,-104.95487
"Dolores County, CO","Dolores+County,+CO",37.68989,-108.50655
"Douglas County, CO","Douglas+County,+CO",39.34832,-104.92015
"Eagle County, CO","Eagle+County,+CO",39.63723,-106.64599
"Elbert County, CO","Elbert+County,+CO",39.21654,-104.189
"El Paso County, CO","El+Paso+County,+CO",38.82442,-104.56304
"Fremont County, CO","Fremont+County,+CO",38.47763,-105.45625
"Garfield County, CO","Garfield+County,+CO",39.72857,-107.52602
"Gilpin County, CO","Gilpin+County,+CO",39.84205,-105.51523
"Grand County, CO","Grand+County,+CO",40.08514,-106.13584
"Gunnison County, CO","Gunnison+County,+CO",38.70233,-106.97538
"Hinsdale County, CO","Hinsdale+County,+CO",37.78497,-107.29901
"Huerfano County, CO","Huerfano+County,+CO",37.65412,-104.90604
"Jackson County, CO","Jackson+County,+CO",40.66308,-106.32222
"Jefferson County, CO","Jefferson+County,+CO",39.52313,-105.23858
"Kiowa County, CO","Kiowa+County,+CO",38.44016,-102.77539
"Kit Carson County, CO","Kit+Carson+County,+CO",39.30604,-102.60182
"Lake County, CO","Lake+County,+CO",39.21853,-106.33534
"La Plata County, CO","La+Plata+County,+CO",37.31998,-107.84669
"Larimer County, CO","Larimer+County,+CO",40.62802,-105.4466
"Las Animas County, CO","Las+Animas+County,+CO",37.40516,-103.92128
"Lincoln County, CO","Lincoln+County,+CO",39.04157,-103.442
"Logan County, CO","Logan+County,+CO",40.71893,-103.11247
"Mesa County, CO","Mesa+County,+CO",38.93309,-108.58468
"Mineral County, CO","Mineral+County,+CO",37.68358,-106.9203
"Moffat County, CO","Moffat+County,+CO",40.61158,-108.18104
"Montezuma County, CO","Montezuma+County,+CO",37.31923,-108.62857
"Montrose County, CO","Montrose+County,+CO",38.41039,-108.28022
"Morgan County, CO","Morgan+County,+CO",40.26262,-103.81112
"Otero County, CO","Otero+County,+CO",37.95438,-103.72901
"Ouray County, CO","Ouray+County,+CO",38.11218,-107.72642
"Park County, CO","Park+County,+CO",39.13061,-105.78995
"Phillips County, CO","Phillips+County,+CO",40.59416,-102.35848
"Pitkin County, CO","Pitkin+County,+CO",39.17224,-106.93121
"Prowers County, CO","Prowers+County,+CO",37.9561,-102.39265
"Pueblo County, CO","Pueblo+County,+CO",38.12857,-104.5534
"Rio Blanco County, CO","Rio+Blanco+County,+CO",39.9378,-108.18482
"Rio Grande County, CO","Rio+Grande+County,+CO",37.61551,-106.37522
"Routt County, CO","Routt+County,+CO",40.4611,-107.04355
"Saguache County, CO","Saguache+County,+CO",38.10298,-106.33129
"San Miguel County, CO","San+Miguel+County,+CO",37.96376,-108.41216
"Sedgwick County, CO","Sedgwick+County,+CO",40.87577,-102.35163
"Summit County, CO","Summit+County,+CO",39.64118,-106.00323
"Teller County, CO","Teller+County,+CO",38.88885,-105.17868
"Washington County, CO","Washington+County,+CO",40.0021,-103.13791
"Weld County, CO","Weld+County,+CO",40.50105,-104.54583
"Yuma County, CO","Yuma+County,+CO",40.0038,-102.42255
"Fairfield County, CT","Fairfield+County,+CT",41.30892,-73.31351
"Hartford County, CT","Hartford+County,+CT",41.79185,-72.74408
"Litchfield County, CT","Litchfield+County,+CT",41.7591,-73.25977
"Middlesex County, CT","Middlesex+County,+CT",41.40944,-72.52897
"New Haven County, CT","New+Haven+County,+CT",41.35791,-72.87557
"New London County, CT","New+London+County,+CT",41.46221,-72.0527
"Tolland County, CT","Tolland+County,+CT",41.8115,-72.31914
"Windham County, CT","Windham+County,+CT",41.83146,-71.97904
"Kent County, DE","Kent+County,+DE",39.10878,-75.47933
"New Castle County, DE","New+Castle+County,+DE",39.56473,-75.64797
"Sussex County, DE","Sussex+County,+DE",38.72688,-75.39578
"Alachua County, FL","Alachua+County,+FL",29.68115,-82.35505
"Baker County, FL","Baker+County,+FL",30.36027,-82.31491
"Bay County, FL","Bay+County,+FL",30.2457,-85.66489
"Bradford County, FL","Bradford+County,+FL",29.93077,-82.21446
"Brevard County, FL","Brevard+County,+FL",28.30679,-80.73499
"Broward County, FL","Broward+County,+FL",26.15601,-80.48898
"Calhoun County, FL","Calhoun+County,+FL",30.40389,-85.20876
"Charlotte County, FL","Charlotte+County,+FL",26.90203,-81.95568
"Citrus County, FL","Citrus+County,+FL",28.85913,-82.43642
"Clay County, FL","Clay+County,+FL",29.95638,-81.82475
"Collier County, FL","Collier+County,+FL",26.16004,-81.34451
"Columbia County, FL","Columbia+County,+FL",30.21165,-82.62632
"DeSoto County, FL","DeSoto+County,+FL",27.18615,-81.81003
"Dixie County, FL","Dixie+County,+FL",29.55764,-83.17445
"Duval County, FL","Duval+County,+FL",30.3453,-81.68187
"Escambia County, FL","Escambia+County,+FL",30.63945,-87.32709
"Flagler County, FL","Flagler+County,+FL",29.46593,-81.30956
"Franklin County, FL","Franklin+County,+FL",29.80011,-84.81319
"Gadsden County, FL","Gadsden+County,+FL",30.54983,-84.6354
"Gilchrist County, FL","Gilchrist+County,+FL",29.74913,-82.79786
"Glades County, FL","Glades+County,+FL",26.98948,-81.22317
"Gulf County, FL","Gulf+County,+FL",29.93376,-85.20972
"Hamilton County, FL","Hamilton+County,+FL",30.47586,-82.97157
"Hardee County, FL","Hardee+County,+FL",27.4917,-81.80944
"Hendry County, FL","Hendry+County,+FL",26.60599,-81.22538
"Hernando County, FL","Hernando+County,+FL",28.56344,-82.39029
"Highlands County, FL","Highlands+County,+FL",27.33942,-81.30493
"Hillsborough County, FL","Hillsborough+County,+FL",27.87108,-82.3113
"Holmes County, FL","Holmes+County,+FL",30.8498,-85.81649
"Indian River County, FL","Indian+River+County,+FL",27.70903,-80.62319
"Jackson County, FL","Jackson+County,+FL",30.78266,-85.17662
"Jefferson County, FL","Jefferson+County,+FL",30.37731,-83.93981
"Lafayette County, FL","Lafayette+County,+FL",30.0408,-83.19658
"Lake County, FL","Lake+County,+FL",28.8111,-81.68621
"Lee County, FL","Lee+County,+FL",26.55293,-81.88255
"Leon County, FL","Leon+County,+FL",30.47943,-84.22183
"Levy County, FL","Levy+County,+FL",29.29224,-82.77626
"Liberty County, FL","Liberty+County,+FL",30.28885,-84.89023
"Madison County, FL","Madison+County,+FL",30.45567,-83.47276
"Manatee County, FL","Manatee+County,+FL",27.42721,-82.36785
"Marion County, FL","Marion+County,+FL",29.24077,-82.02269
"Martin County, FL","Martin+County,+FL",27.11017,-80.41454
"Miami-Dade County, FL","Miami-Dade+County,+FL",25.55824,-80.52303
"Monroe County, FL","Monroe+County,+FL",25.15367,-80.98027
"Nassau County, FL","Nassau+County,+FL",30.55183,-81.87325
"Okaloosa County, FL","Okaloosa+County,+FL",30.68789,-86.59219
"Okeechobee County, FL","Okeechobee+County,+FL",27.30106,-80.84105
"Orange County, FL","Orange+County,+FL",28.56651,-81.29509
"Osceola County, FL","Osceola+County,+FL",27.9951,-81.12593
"Palm Beach County, FL","Palm+Beach+County,+FL",26.64569,-80.46156
"Pasco County, FL","Pasco+County,+FL",28.32503,-82.39369
"Pinellas County, FL","Pinellas+County,+FL",27.89195,-82.71602
"Polk County, FL","Polk+County,+FL",28.00236,-81.73817
"Putnam County, FL","Putnam+County,+FL",29.58213,-81.78912
"St. Johns County, FL","St.+Johns+County,+FL",29.93769,-81.44914
"St. Lucie County, FL","St.+Lucie+County,+FL",27.38217,-80.46654
"Santa Rosa County, FL","Santa+Rosa+County,+FL",30.66676,-87.02984
"Sarasota County, FL","Sarasota+County,+FL",27.16748,-82.27491
"Seminole County, FL","Seminole+County,+FL",28.74494,-81.23934
"Sumter County, FL","Sumter+County,+FL",28.63284,-82.10522
"Suwannee County, FL","Suwannee+County,+FL",30.1625,-83.0133
"Taylor County, FL","Taylor+County,+FL",29.98494,-83.60017
"Union County, FL","Union+County,+FL",30.03136,-82.38612
"Volusia County, FL","Volusia+County,+FL",29.02015,-81.13766
"Wakulla County, FL","Wakulla+County,+FL",30.1364,-84.37162
"Walton County, FL","Walton+County,+FL",30.63187,-86.1525
"Washington County, FL","Washington+County,+FL",30.61402,-85.67124
"Appling County, GA","Appling+County,+GA",31.71765,-82.32713
"Atkinson County, GA","Atkinson+County,+GA",31.30167,-82.84139
"Bacon County, GA","Bacon+County,+GA",31.56383,-82.44587
"Baker County, GA","Baker+County,+GA",31.2667,-84.49724
"Baldwin County, GA","Baldwin+County,+GA",33.05843,-83.25189
"Banks County, GA","Banks+County,+GA",34.34463,-83.52145
"Barrow County, GA","Barrow+County,+GA",34.01122,-83.70999
"Bartow County, GA","Bartow+County,+GA",34.24409,-84.8387
"Ben Hill County, GA","Ben+Hill+County,+GA",31.75183,-83.16067
"Berrien County, GA","Berrien+County,+GA",31.2507,-83.19319
"Bibb County, GA","Bibb+County,+GA",32.80625,-83.68533
"Bleckley County, GA","Bleckley+County,+GA",32.42838,-83.34501
"Brantley County, GA","Brantley+County,+GA",31.19194,-82.027
"Brooks County, GA","Brooks+County,+GA",30.85814,-83.54544
"Bryan County, GA","Bryan+County,+GA",31.97699,-81.43969
"Bulloch County, GA","Bulloch+County,+GA",32.40315,-81.72824
"Burke County, GA","Burke+County,+GA",33.05039,-81.92464
"Butts County, GA","Butts+County,+GA",33.31258,-83.94775
"Calhoun County, GA","Calhoun+County,+GA",31.53571,-84.6323
"Camden County, GA","Camden+County,+GA",30.93905,-81.65447
"Candler County, GA","Candler+County,+GA",32.4138,-82.06078
"Carroll County, GA","Carroll+County,+GA",33.61697,-85.11774
"Catoosa County, GA","Catoosa+County,+GA",34.8776,-85.14393
"Charlton County, GA","Charlton+County,+GA",30.71553,-82.10471
"Chatham County, GA","Chatham+County,+GA",31.9739,-81.07414
"Chattahoochee County, GA","Chattahoochee+County,+GA",32.37793,-84.79987
"Chattooga County, GA","Chattooga+County,+GA",34.43766,-85.3371
"Cherokee County, GA","Cherokee+County,+GA",34.24296,-84.45618
"Clarke County, GA","Clarke+County,+GA",33.94411,-83.39791
"Clay County, GA","Clay+County,+GA",31.63313,-85.00959
"Clayton County, GA","Clayton+County,+GA",33.50068,-84.35207
"Clinch County, GA","Clinch+County,+GA",30.88311,-82.73116
"Cobb County, GA","Cobb+County,+GA",33.91219,-84.58512
"Coffee County, GA","Coffee+County,+GA",31.58981,-82.8437
"Colquitt County, GA","Colquitt+County,+GA",31.18041,-83.76994
"Columbia County, GA","Columbia+County,+GA",33.52768,-82.22137
"Cook County, GA","Cook+County,+GA",31.18875,-83.42911
"Coweta County, GA","Coweta+County,+GA",33.35123,-84.77974
"Crawford County, GA","Crawford+County,+GA",32.69378,-83.96232
"Crisp County, GA","Crisp+County,+GA",31.91709,-83.76633
"Dade County, GA","Dade+County,+GA",34.80426,-85.51128
"Dawson County, GA","Dawson+County,+GA",34.4759,-84.21975
"Decatur County, GA","Decatur+County,+GA",30.88484,-84.5721
"DeKalb County, GA","DeKalb+County,+GA",33.79282,-84.22016
"Dodge County, GA","Dodge+County,+GA",32.17621,-83.15034
"Dooly County, GA","Dooly+County,+GA",32.16051,-83.82033
"Dougherty County, GA","Dougherty+County,+GA",31.54295,-84.22195
"Douglas County, GA","Douglas+County,+GA",33.68979,-84.76699
"Early County, GA","Early+County,+GA",31.29562,-84.86523
"Echols County, GA","Echols+County,+GA",30.73121,-82.93364
"Effingham County, GA","Effingham+County,+GA",32.34875,-81.32261
"Elbert County, GA","Elbert+County,+GA",34.12267,-82.85932
"Emanuel County, GA","Emanuel+County,+GA",32.56664,-82.30795
"Evans County, GA","Evans+County,+GA",32.16338,-81.88899
"Fannin County, GA","Fannin+County,+GA",34.79572,-84.19995
"Fayette County, GA","Fayette+County,+GA",33.4037,-84.50002
"Floyd County, GA","Floyd+County,+GA",34.33323,-85.19413
"Forsyth County, GA","Forsyth+County,+GA",34.19288,-84.15125
"Franklin County, GA","Franklin+County,+GA",34.38024,-83.24349
"Fulton County, GA","Fulton+County,+GA",33.84418,-84.40405
"Gilmer County, GA","Gilmer+County,+GA",34.70194,-84.45394
"Glascock County, GA","Glascock+County,+GA",33.22304,-82.6238
"Glynn County, GA","Glynn+County,+GA",31.23074,-81.52361
"Gordon County, GA","Gordon+County,+GA",34.50706,-84.87207
"Grady County, GA","Grady+County,+GA",30.87751,-84.22873
"Greene County, GA","Greene+County,+GA",33.55848,-83.15402
"Gwinnett County, GA","Gwinnett+County,+GA",33.96078,-84.04506
"Habersham County, GA","Habersham+County,+GA",34.62971,-83.51566
"Hall County, GA","Hall+County,+GA",34.30608,-83.78481
"Hancock County, GA","Hancock+County,+GA",33.25952,-82.9988
"Haralson County, GA","Haralson+County,+GA",33.77916,-85.20615
"Harris County, GA","Harris+County,+GA",32.72768,-84.89952
"Hart County, GA","Hart+County,+GA",34.35181,-82.95946
"Heard County, GA","Heard+County,+GA",33.27836,-85.11212
"Henry County, GA","Henry+County,+GA",33.47251,-84.11959
